x,y,z,q0,q1,q2,q3,u,v,w,q,p,r,V_bs,l_cg,ds,dr,rpm_1,rpm_2
1.25,2.25,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
1.25,2.25,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004223942194460507,0.0,50.0,48.5,0.0,0.08726646259971647,400.0,400.0
1.25,2.25,0.75,1.0,0.0,-0.00021119710972302536,0.0,0.08776782165942948,-0.004068571387529338,0.0,-0.018721122413412793,-0.03141076247951804,-0.030242683702898905,50.0,47.0,0.0,0.08726646259971647,400.0,400.0
1.25877678138298,2.2495931428612472,0.7500037072618869,0.9999996683068949,-0.0009357367414323207,-0.0017817351986726153,-0.0015123318437639793,0.16829084048328602,-0.0076676692520090805,-0.00014945517742382438,-0.03280026543314667,-0.04886807921037075,-0.0578161202719477,50.0,45.5,0.0,0.08726646259971647,400.0,400.0
1.2756034130609912,2.2487755068377333,0.750050209921925,0.9999894083584978,-0.002574289407375951,-0.004225356205359408,-0.0044037643821102585,0.24196310188041462,-0.010592888406324833,-0.0005977241057908685,-0.030308077347060706,-0.05277715126824936,-0.08246997010189241,50.0,44.0,0.0,0.08726646259971647,400.0,400.0
1.2997890721180063,2.247503386927607,0.7502008725150264,0.999956198618119,-0.004083857754678743,-0.006868097433402464,-0.008526782374097713,0.30919266281350705,-0.012705597963730329,-0.0012867915181742446,-0.012304783427873413,-0.04761542233765815,-0.10399804722966416,50.0,42.5,0.0,0.08726646259971647,400.0,400.0
1.330680947359946,2.2457064878464936,0.7505092645157052,0.999892997812,-0.004683642178187497,-0.009264695259678393,-0.013720832631889928,0.3703928024975186,-0.013930631435412615,-0.0020596386610814586,0.014429492596757326,-0.03827523214142668,-0.12234184710986468,50.0,41.0,0.0,0.08726646259971647,400.0,400.0
1.3676653722113532,2.2432990157664223,0.7510069833620145,0.9997947189538026,-0.003931860991080395,-0.011216721524585306,-0.019821372590753446,0.4259749037140955,-0.014248211591408988,-0.002768309281985585,0.044258940920781045,-0.02683578894248612,-0.13764448941666066,50.0,39.5,0.0,0.08726646259971647,400.0,400.0
1.410168251446,2.240188689592968,0.7517027308021172,0.9996519631648836,-0.0016689082271466493,-0.012629071815953736,-0.02667166305491089,0.476342554716295,-0.013679538905388025,-0.0032922667351047434,0.05224247548179972,-0.013775720461332052,-0.15024661506760734,50.0,38.0,0.0,0.08726646259971647,400.0,400.0
1.4576548465409622,2.236283742790429,0.7525840134707948,0.9994472756630416,0.0010185703505751769,-0.013399756718104476,-0.03414657689036045,0.5218874282291803,-0.01226328422254335,-0.0035568286295995424,0.03200317912626567,0.0014245698035576133,-0.16054582290604114,50.0,36.5,0.0,0.08726646259971647,400.0,400.0
1.5096290783748663,2.231497946292799,0.7536187338648014,0.9991725288836479,0.002727634514867923,-0.013375034172011609,-0.042146951131606,0.5629861212733219,-0.010046842360933223,-0.00347748556644787,0.00019467234629268193,0.019984308653602414,-0.16882240818273864,50.0,35.0,0.0,0.08726646259971647,400.0,400.0
1.5656324542351157,2.225754000951476,0.7547558491220296,0.9988301521822522,0.0028923488355863,-0.012354188934518888,-0.05057693110629991,0.5999975332098433,-0.007092708839529359,-0.0028966746652768446,-0.03965316581981856,0.039944128214855934,-0.1752360051334652,50.0,33.5,0.0,0.08726646259971647,400.0,400.0
1.6252427016605961,2.218985594316323,0.7559239435108417,0.9984174941590703,0.0011216044806245246,-0.01023410350660449,-0.05934553000506398,0.6332591674073434,-0.0034759253167098506,-0.0016905206671647061,-0.06798387721671881,0.055973945831835646,-0.17983778804133993,50.0,32.0,0.0,0.08726646259971647,400.0,400.0
1.6880718247748843,2.211138334979129,0.7570388156148066,0.9979164370028765,-0.002013366644407084,-0.007228722105141503,-0.068352742717979,0.6630850517413145,0.0007100713052884374,0.00010994000217416189,-0.053340717892041124,0.06485121617473141,-0.18275676102266353,50.0,30.5,0.0,0.08726646259971647,400.0,400.0
1.7537636826358278,2.2021699266303867,0.7580239469645526,0.9973100820186925,-0.004386481738397787,-0.003829977040612057,-0.07749476413998153,0.6897696648091866,0.005369846612391162,0.0023261441516732465,-0.02259947447949317,0.06744571402211817,-0.18441812973140004,50.0,29.0,0.0,0.08726646259971647,400.0,400.0
1.821992053068085,2.1920500869702417,0.7588256204105206,0.9966037046617087,-0.005216488923822631,-0.0004207791508868573,-0.08670691680649777,0.7135924396660104,0.010431151039390872,0.004731017257729401,0.0131204695440727,0.06685147730608999,-0.18520212806424377,50.0,27.5,0.0,0.08726646259971647,400.0,400.0
1.8924592952704704,2.1807595038856107,0.7594122411119032,0.9958059228736579,-0.004269334706112508,0.002804023010821854,-0.09594920178213218,0.7348174193648307,0.015836931906188473,0.0071684415872690765,0.053731828190716174,0.0650609490279108,-0.18540737968984536,50.0,26.0,0.0,0.08726646259971647,400.0,400.0
1.9648949868785233,2.1682881538687284,0.7597648849964083,0.9949191687164579,-0.0013091533204340877,0.005744805447324417,-0.10519812734790404,0.7536908549744505,0.021544572473727607,0.009535535566450024,0.06574176934022632,0.06281643347641477,-0.1852376496678202,50.0,24.5,0.0,0.08726646259971647,400.0,400.0
2.039054216934741,2.1546335754774772,0.7598701729989482,0.9939315725712025,0.0022367234646096397,0.008510413564889012,-0.1144314908700487,0.7704401927732468,0.027490311447958854,0.011816457847322357,0.04124894946693987,0.06082757093914627,-0.1847244414706233,50.0,23.0,0.0,0.08726646259971647,400.0,400.0
2.1147156659309885,2.1397992884984216,0.7597171010822429,0.9928447437617727,0.00455483839823501,0.01131648205852473,-0.1236174909321167,0.7852741762636618,0.03358265226328294,0.01409381313890511,0.009269798189944903,0.059430748181671295,-0.18388548067004895,50.0,21.5,0.0,0.08726646259971647,400.0,400.0
2.191679570739267,2.1237930463782635,0.7592961617313749,0.991673117860031,0.005277875945616239,0.014249623801233824,-0.13273235359929653,0.7983837355154019,0.03974890226452735,0.016434812490613602,-0.026565356805588747,0.05833682653478517,-0.1827158792582213,50.0,20.0,0.0,0.08726646259971647,400.0,400.0
2.2697657214665528,2.106625188924261,0.7586001665314326,0.9904267366538294,0.004218315642619059,0.017364729955061678,-0.1417520525752702,0.809943708616621,0.04591892764959282,0.018897259596761393,-0.057571961345214626,0.057410837865524915,-0.18119755344732896,50.0,18.5,0.0,0.08726646259971647,400.0,400.0
2.3488117205613217,2.08830785461639,0.7576255150001006,0.9891056738069595,0.0016186227424572533,0.02065182467009797,-0.15065705786139913,0.8201140801403267,0.05203694414444252,0.021501891352640294,-0.051002907496946435,0.05650818801562082,-0.17943545302605804,50.0,17.0,0.0,0.08726646259971647,400.0,400.0
2.4286713989050783,2.0688544525556396,0.7563726317593528,0.9877008136573656,-0.0006616958584304139,0.02384284911558036,-0.15946743596045973,0.8290406480731275,0.05812690925222658,0.024084163464888092,-0.019744785254082353,0.05513934161376786,-0.1775039288764945,50.0,15.5,0.0,0.08726646259971647,400.0,400.0
2.509213220360888,2.048278875933735,0.7548453957193503,0.9862202698542278,-0.0014081774540848865,0.02671523992609784,-0.16820498407582352,0.8368566651680877,0.0642164051430597,0.026466193024581246,0.020892613919211454,0.05331579101663593,-0.1755291756647738,50.0,14.0,0.0,0.08726646259971647,400.0,400.0
2.5903190062195476,2.0265956944261343,0.75304985096987,0.9846755449648602,-0.00016502596103884146,0.029154226754273746,-0.17688505657711318,0.8436825929872843,0.07031765868306822,0.02852537732443667,0.06820897180372937,0.051259815779980615,-0.17372322967397252,50.0,12.5,0.0,0.08726646259971647,400.0,400.0
2.6718825820715875,2.003819945490169,0.750992125411501,0.9830663203511549,0.00339021207586269,0.031071597972137027,-0.1855305090781805,0.8496256122046033,0.0764493391797761,0.03015205528774302,0.07480298905071117,0.04908052875497525,-0.1720324168113648,50.0,11.0,0.0,0.08726646259971647,400.0,400.0
2.753808241088771,1.9799662633159896,0.7486766277404032,0.981383056141372,0.007251549540660427,0.03281773177353907,-0.19408659206632314,0.8547821213251103,0.08248436032318994,0.03159298318564389,0.046280900998932215,0.04742631973552339,-0.1705521497763342,50.0,9.5,0.0,0.08726646259971647,400.0,400.0
2.83600948481334,1.9550486495194233,0.7461055063829629,0.9796350304652881,0.009700558039602673,0.034755762581684044,-0.20250614274793238,0.8592366795639148,0.08830224427972566,0.03315132090412927,0.016943741990397068,0.04649863052399699,-0.16942073979433367,50.0,8.0,0.0,0.08726646259971647,400.0,400.0
2.918407554558835,1.9290792534229055,0.7432791575184051,0.9778323682786669,0.010705885152001413,0.036941780027230336,-0.21080328408878157,0.863063301598968,0.0938932305289449,0.034896924513888775,-0.01288878386131366,0.04594693658772973,-0.16847746442256606,50.0,6.5,0.0,0.08726646259971647,400.0,400.0
3.0009302391245303,1.9020675713952315,0.740197675314562,0.9759805382182181,0.010249300148379133,0.03941167572679889,-0.21898354173561838,0.8663298479190109,0.09924268191689883,0.03688048772330931,-0.04085710656874443,0.045604364925513376,-0.16756125213410528,51.0,5.0,-0.12217304763960307,-0.12217304763960306,-200.0,-200.0
3.0835113317086296,1.8740210902569754,0.7368622742563166,0.9740789941975901,0.008426608347036187,0.042167384355119984,-0.22704781982334413,0.8499722057804927,0.10498278667213726,0.03933716549258121,-0.041227992536850326,0.05018269458888948,-0.16190660752415106,52.0,3.5,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.1644112977507994,1.8458458266725823,0.7334614650608874,0.9721546781685195,0.0066489576407623525,0.045144415170218284,-0.23481658759723859,0.8340035498555558,0.11015172587525271,0.04203037973965705,-0.015470115472489297,0.05218692994492487,-0.1568032839988769,53.0,2.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.243675503878143,1.8175655866174254,0.7299926876847793,0.9702032716072417,0.0061563362071152,0.04791167597699431,-0.24237745918651965,0.8184188913181945,0.11490246023610796,0.044548563411856236,0.02417576073271687,0.05231590003085853,-0.1521825798792253,54.0,0.5,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.321347281408642,1.7892000466280629,0.7264631789748747,0.9682285646557679,0.007596840605526939,0.05020067405540292,-0.24979287309171416,0.8032117246554611,0.11934848334356617,0.04662482733294312,0.07111276801140097,0.05136139986226629,-0.14816978911993628,55.0,0.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.397468051644459,1.7607659974338923,0.722885011654602,0.966224490660309,0.011304563443527267,0.05185324514858185,-0.25711603849364517,0.788371150921197,0.12358143277213686,0.04809657081651522,0.0760844151176378,0.048355801235173,-0.14450897980611593,56.0,0.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.4720770071722007,1.7322775631501521,0.7192711370480617,0.9642008795923933,0.01522236084139256,0.05329112052027681,-0.2642583976042118,0.7738936399286388,0.1274392810747504,0.04936962747738739,0.048749018480037085,0.04413843148941875,-0.14140449954495538,57.0,0.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.545211803027959,1.7037467493825147,0.7156394342939811,0.9621804124794092,0.01777566930418297,0.05488048996512711,-0.27116288776487174,0.7597701377410495,0.13080260019996412,0.050813865385969256,0.02188812710512766,0.039670984215035815,-0.13903296830043663,58.0,0.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.616908071458354,1.675182682474231,0.7120118334074814,0.960169732144874,0.018983442507708313,0.05661353668169058,-0.2778675582256284,0.7459850682122408,0.1337168458781546,0.05243936486337813,-0.004270650628669773,0.03506621248476895,-0.13712429716338473,59.0,0.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.6871991245056805,1.6465916645179144,0.708411890037859,0.958172101667634,0.0188775915002498,0.05848397576523963,-0.2843965016427352,0.732525534066327,0.13621437841424605,0.054252977020912675,-0.02876105314855474,0.030403318310536352,-0.13544516415977445,60.0,0.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.756116542589417,1.6179784275877045,0.7048641919584243,0.9561870661677957,0.017537793065934414,0.06047464024582847,-0.29076393521030736,0.7193815550699592,0.1383210357689527,0.05624702142184883,-0.036535719909910766,0.02573937669571653,-0.1339396266779715,61.0,0.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.823690720418115,1.5893471468335405,0.7013939132303209,0.9541968208488134,0.015762735739377514,0.06235120960350209,-0.29702569034326975,0.7065441260154581,0.14014357363629193,0.05820332440477861,-0.018532236768071714,0.020971119280077288,-0.13254037658420612,62.0,0.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
3.8899509729725015,1.5607017211673742,0.6980259729197227,0.9521805263704226,0.014778214002094604,0.06372946187003893,-0.30326597494306484,0.694005657273506,0.14184604308220822,0.059764930070996446,0.01633930309410753,0.01593619951566469,-0.13112584668351526,63.0,0.0,-0.12217304763960307,-0.12217304763960307,-200.0,-200.0
