3.231549,3.647054,1.293008,0.741201,0.069351,-0.087754,0.661899,2.001572,-0.079776,0.215186,-0.055636,-0.058012,0.252027,56.353838,51.148010,0.592033,0.642284,992.290508,1027.120718
3.260959,3.837464,1.361145,0.736014,0.069964,-0.094591,0.666664,2.064053,-0.114813,0.231792,-0.039920,-0.134353,0.100082,56.196790,51.122400,0.329585,-0.057716,1004.151299,1083.077947
3.290549,4.033380,1.433143,0.733128,0.071937,-0.097975,0.669141,2.105989,-0.131274,0.217306,0.008987,0.012222,0.024285,55.928149,51.006619,-0.370415,0.452057,904.151299,983.077947
3.321054,4.231680,1.504383,0.733749,0.070568,-0.093967,0.669181,2.128167,-0.130966,0.219973,0.073749,0.090955,-0.004109,55.772884,50.963940,0.329585,-0.247943,974.602470,1038.466076
3.349775,4.433539,1.575358,0.730027,0.071399,-0.086237,0.674185,2.154175,-0.099323,0.223444,0.179526,0.157740,0.279941,55.576152,50.920573,-0.370415,-0.947943,1066.505855,1053.156077
3.371230,4.638639,1.643517,0.715794,0.070147,-0.075818,0.690630,2.161166,-0.105517,0.233565,0.137831,0.137571,0.487000,55.420560,50.902519,0.329585,-0.247943,973.727039,960.573414
3.385254,4.844741,1.710180,0.697500,0.068559,-0.068888,0.709963,2.140659,-0.134846,0.246882,0.135735,0.124865,0.581234,55.233617,50.861419,-0.030609,-0.947943,984.475488,908.467741
3.390515,5.048541,1.774306,0.675174,0.066018,-0.061512,0.732119,2.089889,-0.174721,0.253267,0.114755,0.147693,0.627021,55.054740,50.762198,-0.122695,-0.685752,884.475488,808.467741
3.387981,5.247576,1.835069,0.652426,0.062128,-0.054707,0.753318,2.019113,-0.220053,0.260378,0.096279,0.148275,0.606184,54.926158,50.749122,-0.080497,-1.306043,824.330294,789.437551
3.378846,5.440112,1.892373,0.630404,0.057777,-0.048577,0.772589,1.938564,-0.265242,0.267144,0.067043,0.140742,0.539340,54.723503,50.719522,-0.234398,-1.816293,724.330294,689.437551
