typeFunct,success,execution_time,numberOfVertices,total_cost,deceleration
3,1,9.331181287765503,5,59.62228042199024,0.01
3,0,9.034179925918579,0,0.0,0.1
3,0,8.299152612686157,0,0.0,1.0
3,0,8.258971452713013,0,0.0,10.0
3,1,2.8209540843963623,3,8.657597636613621,0.01
3,1,3.846289873123169,3,1.5979286712240919,0.1
3,1,3.0025365352630615,3,19.742806776102945,1.0
3,1,3.0079925060272217,3,19.742806776102945,10.0
3,0,33.592796087265015,0,0.0,0.01
3,0,14.736191987991333,0,0.0,0.1
3,0,19.206727743148804,0,0.0,1.0
3,1,15.629213333129883,4,39.60712293199846,10.0
3,1,3.475534677505493,3,11.94239271041991,0.01
3,1,3.464339256286621,3,1.0688814248346192,0.1
3,1,3.4561402797698975,3,1.0688814248346192,1.0
3,1,3.4991326332092285,3,1.0688814248346192,10.0
3,0,28.077425718307495,0,0.0,0.01
3,0,25.55932641029358,0,0.0,0.1
3,0,24.641257286071777,0,0.0,1.0
3,0,25.00830578804016,0,0.0,10.0
3,0,20.496344327926636,0,0.0,0.01
3,1,1.8696463108062744,4,8.35091371549937,0.1
3,1,1.726059913635254,4,8.35091371549937,1.0
3,1,1.7049410343170166,4,8.35091371549937,10.0
3,1,2.717242479324341,3,14.157341580595068,0.01
3,1,2.6337578296661377,3,2.8344239051512945,0.1
3,1,3.068679094314575,3,19.742806776102956,1.0
3,1,3.10249400138855,3,19.742806776102956,10.0
3,0,43.794204235076904,0,0.0,0.01
3,0,33.40374422073364,0,0.0,0.1
3,0,27.668135166168213,0,0.0,1.0
3,0,27.646962881088257,0,0.0,10.0
3,1,10.860904216766357,13,68.14372723517756,0.01
3,1,6.492491245269775,4,79.62742316909264,0.1
3,1,16.18720006942749,5,68.58283480137452,1.0
3,1,19.476299047470093,5,68.58283480137452,10.0
3,0,35.971423864364624,0,0.0,0.01
3,1,3.8665931224823,3,3.824419480435247,0.1
3,1,2.3377914428710938,3,6.378966757964359,1.0
3,1,2.4113173484802246,3,6.378966757964359,10.0
3,1,14.672638416290283,9,81.43608177252352,0.01
3,1,23.139657735824585,8,3.350992349050579,0.1
3,0,25.17128849029541,0,0.0,1.0
3,0,24.56967067718506,0,0.0,10.0
3,1,3.4013662338256836,3,8.013491365621821,0.01
3,1,3.9262335300445557,4,8.806251229476572,0.1
3,1,3.2199652194976807,3,7.166265675077041,1.0
3,1,3.2171528339385986,3,7.166265675077041,10.0
3,1,12.95997142791748,6,83.21231966502553,0.01
3,0,23.547699451446533,0,0.0,0.1
3,0,25.263386964797974,0,0.0,1.0
3,0,28.142530918121338,0,0.0,10.0
3,1,2.1350910663604736,2,4.218109900397385,0.01
3,1,2.1623270511627197,2,4.218109900397385,0.1
3,1,2.145036458969116,2,4.218109900397385,1.0
3,1,2.194916009902954,2,4.218109900397385,10.0
3,1,26.663908004760742,30,30.571803554749103,0.01
3,1,7.139199495315552,4,32.600770749043214,0.1
3,1,9.192588806152344,5,12.267827047669305,1.0
3,1,10.599440097808838,4,39.04096577810517,10.0
3,1,12.76158595085144,17,0.8721291987018285,0.01
3,1,20.66835355758667,6,22.709327384527956,0.1
3,1,2.7393248081207275,3,0.6924976030246932,1.0
3,1,2.7283875942230225,3,0.6924976030246932,10.0
3,1,13.86195182800293,4,61.553347338036744,0.01
3,1,21.511202096939087,7,2.5593735272268656,0.1
